Transact No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026032904042552,HDHPC,6,35,28.0,239.3,6700.400000000001
2026032904042551,HDHPC,35,35,300.0,239.5,71850.0
2026032904042550,SHEL,26,43,262.0,334.0,87508.0
2026032904042549,PPCL,25,39,100.0,423.0,42300.0
2026032904042542,AKJCL,14,101,100.0,405.5,40550.0
2026032904042541,TRH,47,49,10.0,761.0,7610.0
2026032904042140,JOSHI,57,34,77.0,306.0,23562.0
2026032904042139,API,22,47,55.0,354.8,19514.0
2026032904042138,NIL,55,48,100.0,657.0,65700.0
2026032904041990,JOSHI,42,34,100.0,306.0,30600.0
2026032904041989,JOSHI,49,34,20.0,306.0,6120.0
2026032904041988,JOSHI,34,34,78.0,306.0,23868.0
2026032904041987,NGPL,32,34,1000.0,470.0,470000.0
2026032904041986,RIDI,44,26,90.0,383.6,34524.0
2026032904041985,RIDI,44,72,162.0,383.0,62046.0
2026032904041984,RIDI,42,72,20.0,383.0,7660.0
2026032904041983,RIDI,14,72,500.0,383.0,191500.0
2026032904041982,RIDI,25,72,200.0,383.0,76600.0
2026032904041981,RIDI,43,72,100.0,383.0,38300.0
2026032904041980,RIDI,42,72,400.0,383.0,153200.0
2026032904041979,RIDI,5,72,50.0,383.0,19150.0
2026032904041978,RIDI,62,72,568.0,383.0,217544.0
2026032904041977,AKJCL,82,62,500.0,406.0,203000.0
2026032904041976,SHEL,45,43,200.0,334.2,66840.0
2026032904041975,SSHL,4,45,220.0,232.3,51106.0
2026032904041974,PMHPL,38,18,200.0,378.0,75600.0
2026032904040643,HDHPC,58,45,100.0,241.0,24100.0
2026032904040642,HDHPC,42,45,40.0,241.0,9640.0
2026032904039116,NHPC,32,6,30.0,312.0,9360.0
2026032904035609,CGH,62,50,100.0,851.1,85110.0
2026032904034788,LEC,94,49,10.0,250.0,2500.0
2026032904032830,GLH,98,46,300.0,297.0,89100.0
2026032904026635,CHL,45,40,200.0,311.0,62200.0
2026032904025204,LEC,38,58,98.0,252.0,24696.0
2026032904023742,RADHI,48,8,127.0,880.0,111760.0
2026032904021946,NHPC,77,29,500.0,315.6,157800.0
2026032904020867,NGPL,44,38,238.0,478.9,113978.2
2026032904012202,IGI,47,41,100.0,473.1,47310.0
2026032904011665,API,58,32,20.0,357.0,7140.0
2026032904003769,GLH,33,32,370.0,308.0,113960.0
2026032904002913,UPPER,50,8,170.0,233.0,39610.0
2026032904001413,AKPL,59,47,370.0,296.0,109520.0
2026032903018302,GRDBL,39,40,10.0,1130.0,11300.0
2026032903018301,GMFIL,42,49,10.0,496.0,4960.0
2026032903018300,LBBL,59,74,1210.0,507.0,613470.0
2026032903018299,LBBL,59,101,100.0,507.0,50700.0
2026032903018298,LBBL,59,41,190.0,506.9,96311.0
