Transact No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026011201012660,BANDIPUR,-,-,30,847.6,25428.0
2026011201012659,BANDIPUR,-,-,100,848.0,84800.0
2026011201012658,BANDIPUR,-,-,100,848.0,84800.0
2026011201012657,BANDIPUR,-,-,100,848.0,84800.0
2026011201012656,BANDIPUR,-,-,30,848.0,25440.0
2026011201012655,DHEL,-,-,10,660.5,6605.0
2026011201012654,SANIMA,-,-,85,343.8,29223.0
2026011201012653,HBL,-,-,10,188.5,1885.0
2026011201012652,NABIL,-,-,100,489.9,48990.0
2026011201012651,SWASTIK,-,-,10,2900.0,29000.0
2026011201012650,SAIL,-,-,10,1080.1,10801.0
2026011201012649,TTL,-,-,10,848.0,8480.0
2026011201012648,BUNGAL,-,-,450,647.5,291375.0
2026011201012647,SAGAR,-,-,10,2009.0,20090.0
2026011201012646,PURE,-,-,10,1049.0,10490.0
2026011201012645,NMIC,-,-,60,1228.0,73680.0
2026011201012644,BANDIPUR,-,-,10,848.0,8480.0
2026011201012643,SYPNL,-,-,10,1356.0,13560.0
2026011201012642,SYPNL,-,-,10,1356.0,13560.0
2026011201012641,SAIL,-,-,10,1080.1,10801.0
2026011201012640,PCBL,-,-,240,239.6,57504.0
2026011201012639,SAIL,-,-,100,1083.9,108390.0
2026011201012557,BANDIPUR,-,-,10,850.0,8500.0
2026011201012556,BANDIPUR,-,-,10,850.0,8500.0
2026011201012555,SYPNL,-,-,10,1355.1,13551.0
2026011201012554,SYPNL,-,-,10,1355.1,13551.0
2026011201012553,BANDIPUR,-,-,10,849.1,8491.0
2026011201012552,BUNGAL,-,-,10,647.1,6471.0
2026011201012551,DHEL,-,-,100,661.0,66100.0
2026011201012550,KDL,-,-,10,786.4,7864.0
2026011201012546,NWCL,-,-,10,845.0,8450.0
2026011201012543,BANDIPUR,-,-,20,850.0,17000.0
2026011201012542,SYPNL,-,-,10,1356.0,13560.0
2026011201012541,SAIL,-,-,10,1082.0,10820.0
2026011201012540,GBIME,-,-,8,227.0,1816.0
2026011205005560,HDL,-,-,61,1154.0,70394.0
2026011205005559,MAKAR,-,-,10,534.2,5342.0
2026011205005558,HRL,-,-,25,840.6,21015.0
2026011205005557,NIFRA,-,-,54,259.9,14034.6
2026011205005556,SHIVM,-,-,289,630.0,182070.0
2026011205005555,SHIVM,-,-,10,630.0,6300.0
2026011205005554,SHIVM,-,-,201,630.0,126630.0
2026011205005553,SONA,-,-,10,433.1,4331.0
2026011205005552,VLUCL,-,-,10,566.1,5661.0
2026011205005551,SHIVM,-,-,299,630.0,188370.0
2026011205005550,SHIVM,-,-,500,630.0,315000.0
2026011205005549,SHIVM,-,-,250,630.0,157500.0
2026011205005548,SHIVM,-,-,12,630.0,7560.0
2026011205005547,SHIVM,-,-,500,630.1,315050.0
2026011205005546,SHIVM,-,-,200,630.1,126020.0
2026011205005545,SHIVM,-,-,1000,630.4,630400.0
2026011205005544,SHIVM,-,-,2000,630.6,1261200.0
2026011205005543,SHIVM,-,-,200,631.0,126200.0
2026011205005542,SHIVM,-,-,439,631.0,277009.0
2026011205005541,BEDC,-,-,10,537.0,5370.0
2026011205005540,BHDC,-,-,11,464.2,5106.2
2026011205005539,BHDC,-,-,500,466.0,233000.0
2026011205005538,MEHL,-,-,10,425.0,4250.0
